county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Honolulu,residential,10000000,0,0,0,4,44806900
Honolulu,residential,10000000,0,1,0,35,383822500
Honolulu,residential,10000000,0,1,1,22,232663400
Honolulu,residential,10000000,1,1,0,10,110494400
Honolulu,residential,10000000,1,1,1,6,66197900
Honolulu,residential,12500000,0,0,0,2,26925600
Honolulu,residential,12500000,0,1,0,20,268277500
Honolulu,residential,12500000,0,1,1,10,130801000
Honolulu,residential,12500000,1,1,1,2,27284500
Honolulu,residential,15000000,0,0,0,3,47555800
Honolulu,residential,15000000,0,1,0,25,428769200
Honolulu,residential,15000000,0,1,1,1,16091100
Honolulu,residential,15000000,1,1,0,2,30411500
Honolulu,residential,15000000,1,1,1,1,15151800
Honolulu,residential,20000000,0,0,0,1,28091300
Honolulu,residential,20000000,0,1,0,3,68081400
Honolulu,residential,20000000,0,1,1,3,70112000
Honolulu,residential,20000000,1,1,1,2,42078800
Honolulu,residential,30000000,0,0,0,1,32032800
Honolulu,residential,30000000,0,1,1,3,112957900
Hawaii,ag_dwelling,0,0,1,0,2077,449296700
Hawaii,ag_dwelling,0,1,1,0,4147,961512211
Hawaii,ag_dwelling,300000,0,1,0,2881,1247243700
Hawaii,ag_dwelling,300000,1,1,0,7283,3113877877
Hawaii,ag_dwelling,600000,0,1,0,752,519875300
Hawaii,ag_dwelling,600000,1,1,0,2075,1429209743
Hawaii,ag_dwelling,800000,0,1,0,448,399800700
Hawaii,ag_dwelling,800000,1,1,0,1266,1130416839
Hawaii,ag_dwelling,1000000,0,1,0,344,384356000
Hawaii,ag_dwelling,1000000,1,1,0,896,998279387
Hawaii,ag_dwelling,1250000,0,1,0,252,345625800
Hawaii,ag_dwelling,1250000,1,1,0,609,827420063
Hawaii,ag_dwelling,1500000,0,1,0,161,261811300
Hawaii,ag_dwelling,1500000,1,1,0,356,572882585
Hawaii,ag_dwelling,1750000,0,1,0,106,197226400
Hawaii,ag_dwelling,1750000,1,1,0,206,385171860
Hawaii,ag_dwelling,2000000,0,1,0,79,167335900
Hawaii,ag_dwelling,2000000,1,1,0,163,345814793
Hawaii,ag_dwelling,2250000,0,1,0,45,106580300
Hawaii,ag_dwelling,2250000,1,1,0,108,253961649
Hawaii,ag_dwelling,2500000,0,1,0,40,105092500
Hawaii,ag_dwelling,2500000,1,1,0,77,201112669
Hawaii,ag_dwelling,2750000,0,1,0,28,80114900
Hawaii,ag_dwelling,2750000,1,1,0,62,177517357
Hawaii,ag_dwelling,3000000,0,1,0,22,68551700
Hawaii,ag_dwelling,3000000,1,1,0,23,71944360
Hawaii,ag_dwelling,3250000,0,1,0,18,60645200
Hawaii,ag_dwelling,3250000,1,1,0,20,67467605
Hawaii,ag_dwelling,3500000,0,1,0,7,25137000
Hawaii,ag_dwelling,3500000,1,1,0,12,43236040
Hawaii,ag_dwelling,3750000,0,1,0,10,38485500
Hawaii,ag_dwelling,3750000,1,1,0,15,58128896
Hawaii,ag_dwelling,4000000,0,1,0,9,36927500
Hawaii,ag_dwelling,4000000,1,1,0,7,29050201
Hawaii,ag_dwelling,4250000,0,1,0,5,21824600
Hawaii,ag_dwelling,4250000,1,1,0,10,43666309
Hawaii,ag_dwelling,4500000,0,1,0,8,36679000
Hawaii,ag_dwelling,4500000,1,1,0,3,13826412
Hawaii,ag_dwelling,4750000,0,1,0,10,48924100
Hawaii,ag_dwelling,4750000,1,1,0,3,14689688
Hawaii,ag_dwelling,5000000,0,1,0,4,20418000
Hawaii,ag_dwelling,5000000,1,1,0,1,5161830
Hawaii,ag_dwelling,5250000,1,1,0,1,5488380
Hawaii,ag_dwelling,5500000,0,1,0,4,22391500
Hawaii,ag_dwelling,5500000,1,1,0,1,5529426
Hawaii,ag_dwelling,5750000,1,1,0,2,11722939
Hawaii,ag_dwelling,6000000,0,1,0,3,18526800
Hawaii,ag_dwelling,6000000,1,1,0,3,18651554
Hawaii,ag_dwelling,6500000,0,1,0,6,40925600
Hawaii,ag_dwelling,6500000,1,1,0,1,6721465
Hawaii,ag_dwelling,7000000,0,1,0,1,7476400
Hawaii,ag_dwelling,7000000,1,1,0,1,7140681
Hawaii,ag_dwelling,7500000,0,1,0,2,15587300
Hawaii,ag_dwelling,8000000,0,1,0,2,16440300
Hawaii,ag_dwelling,8000000,1,1,0,1,8214400
Hawaii,ag_dwelling,8500000,0,1,0,2,17785400
Hawaii,ag_dwelling,9000000,0,1,0,1,9370000
Hawaii,ag_dwelling,9000000,1,1,0,1,9172618
Hawaii,ag_dwelling,10000000,0,1,0,1,10519000
Hawaii,condo_unit,0,0,1,1,870,146490080
Hawaii,condo_unit,0,1,1,1,101,22860499
Hawaii,condo_unit,300000,0,1,1,4107,1882802193
Hawaii,condo_unit,300000,1,1,1,994,445003110
Hawaii,condo_unit,600000,0,1,1,670,455791326
